Subnet,IPv4,IPv6,,DNS,A,AAAA
nyc-core-sw1 <-> nyc-console-server1,10.1.2.28/30,2001:db8:c100:1c::/127,,nyc-core-sw1-twe1-0-15,10.1.2.29,2001:db8:c100:1c::
,,,,nyc-console-server1-ten0-0-4,10.1.2.30,2001:db8:c100:1c::1
,,,,,,
nyc-core-sw2 <-> nyc-console-server1,10.1.2.32/30,2001:db8:c100:20::/127,,nyc-core-sw2-twe1-0-15,10.1.2.33,2001:db8:c100:20::
,,,,nyc-console-server1-ten0-0-5,10.1.2.34,2001:db8:c100:20::1
,,,,,,
nyc-core-sw1 <-> nyc-lab-gw1,10.1.2.36/30,2001:db8:c100:24::/127,,nyc-core-sw1-twe1-0-11,10.1.2.37,2001:db8:c100:24::
,,,,nyc-lab-gw1-ten0-0-0,10.1.2.38,2001:db8:c100:24::1
,,,,,,
nyc-core-sw1 <-> nyc-lab-gw2,10.1.2.40/30,2001:db8:c100:28::/127,,nyc-core-sw1-twe1-0-12,10.1.2.41,2001:db8:c100:28::
,,,,nyc-lab-gw2-ten0-0-0,10.1.2.42,2001:db8:c100:28::1
,,,,,,
nyc-core-sw2 <-> nyc-lab-gw1,10.1.2.44/30,2001:db8:c100:2c::/127,,nyc-core-sw2-twe1-0-11,10.1.2.45,2001:db8:c100:2c::
,,,,nyc-lab-gw1-ten0-0-1,10.1.2.46,2001:db8:c100:2c::1
,,,,,,
nyc-core-sw2 <-> nyc-lab-gw2,10.1.2.48/30,2001:db8:c100:30::/127,,nyc-core-sw2-twe1-0-12,10.1.2.49,2001:db8:c100:30::
,,,,nyc-lab-gw2-ten0-0-1,10.1.2.50,2001:db8:c100:30::1
,,,,,,
nyc-lab-gw1 <-> nyc-lab-gw2,10.1.2.52/30,2001:db8:c100:34::/127,,nyc-lab-gw1-ten0-0-2,10.1.2.53,2001:db8:c100:34::
,,,,nyc-lab-gw2-ten0-0-2,10.1.2.54,2001:db8:c100:34::1
,,,,,,
nyc-core-sw1 <-> nyc-voice-gw1,10.1.2.56/30,2001:db8:c100:38::/127,,nyc-core-sw1-twe1-0-13,10.1.2.57,2001:db8:c100:38::
,,,,nyc-voice-gw1-ten0-0-4,10.1.2.58,2001:db8:c100:38::1
,,,,,,
nyc-core-sw2 <-> nyc-voice-gw1,10.1.2.60/30,2001:db8:c100:3c::/127,,nyc-core-sw2-twe1-0-13,10.1.2.61,2001:db8:c100:3c::
,,,,nyc-voice-gw1-ten0-0-5,10.1.2.62,2001:db8:c100:3c::1
,,,,,,
nyc Loopbacks,10.1.2.128/26,2001:db8:c100:100::/64,,nyc-wan-gw1,10.1.2.129,2001:db8:c100:100::a01:281
,,,,nyc-wan-gw2,10.1.2.130,2001:db8:c100:100::a01:282
,,,,nyc-core-sw1,10.1.2.131,2001:db8:c100:100::a01:283
,,,,nyc-core-sw2,10.1.2.132,2001:db8:c100:100::a01:284
,,,,nyc-console-server1,10.1.2.133,2001:db8:c100:100::a01:285
,,,,nyc-11-sw1,10.1.2.134,2001:db8:c100:100::a01:286
,,,,nyc-11-sw2,10.1.2.135,2001:db8:c100:100::a01:287
,,,,nyc-21-sw1,10.1.2.136,2001:db8:c100:100::a01:288
,,,,nyc-21-sw2,10.1.2.137,2001:db8:c100:100::a01:289
,,,,nyc-lab-gw1,10.1.2.138,2001:db8:c100:100::a01:28a
,,,,nyc-lab-gw2,10.1.2.139,2001:db8:c100:100::a01:28b
,,,,nyc-voice-gw1,10.1.2.140,2001:db8:c100:100::a01:28c
,,,,,,
nyc VLAN 100 Data,10.128.96.0/22,2001:db8:a100:64::/64,,hsrp-10-128-96-1,10.128.96.1,2001:db8:a100:64::1
,,,,nyc-core-sw1-vlan100,10.128.96.2,2001:db8:a100:64::2
,,,,nyc-core-sw2-vlan100,10.128.96.3,2001:db8:a100:64::3
,,,,nyc-11-sw1,10.128.96.4,2001:db8:a100:64::a80:6004
,,,,nyc-11-sw2,10.128.96.5,2001:db8:a100:64::a80:6005
,,,,nyc-21-sw1,10.128.96.6,2001:db8:a100:64::a80:6006
,,,,nyc-21-sw2,10.128.96.7,2001:db8:a100:64::a80:6007
,,,,,,
nyc VLAN 150 Voice,10.128.102.0/24,2001:db8:a100:96::/64,,hsrp-10-128-102-1,10.128.102.1,2001:db8:a100:96::1
,,,,nyc-core-sw1-vlan150,10.128.102.2,2001:db8:a100:96::2
,,,,nyc-core-sw2-vlan150,10.128.102.3,2001:db8:a100:96::3
,,,,,,
nyc VLAN 200 Guest,10.128.100.0/23,2001:db8:a100:c8::/64,,hsrp-10-128-100-1,10.128.100.1,2001:db8:a100:c8::1
,,,,nyc-core-sw1-vlan200,10.128.100.2,2001:db8:a100:c8::2
,,,,nyc-core-sw2-vlan200,10.128.100.3,2001:db8:a100:c8::3
,,,,,,
nyc VLAN 300 Services,10.1.3.0/24,2001:db8:c100:111::/64,,hsrp-10-1-3-1,10.1.3.1,2001:db8:c100:111::1
,,,,nyc-core-sw1-vlan300,10.1.3.2,2001:db8:c100:111::2
,,,,nyc-core-sw2-vlan300,10.1.3.3,2001:db8:c100:111::3
,,,,nyc-11-cap1,10.1.3.11,N/A
,,,,nyc-11-cap2,10.1.3.12,N/A
,,,,nyc-11-cap3,10.1.3.13,N/A
,,,,nyc-11-cap4,10.1.3.14,N/A
,,,,nyc-11-cap5,10.1.3.15,N/A
,,,,nyc-11-cap6,10.1.3.16,N/A
,,,,nyc-11-cap7,10.1.3.17,N/A
,,,,nyc-11-cap8,10.1.3.18,N/A
,,,,nyc-11-cap9,10.1.3.19,N/A
,,,,nyc-11-cap10,10.1.3.20,N/A
,,,,nyc-11-cap11,10.1.3.21,N/A
,,,,nyc-11-cap12,10.1.3.22,N/A
,,,,nyc-11-cap13,10.1.3.23,N/A
,,,,nyc-11-cap14,10.1.3.24,N/A
,,,,nyc-11-cap15,10.1.3.25,N/A
,,,,nyc-21-cap1,10.1.3.26,N/A
,,,,nyc-21-cap2,10.1.3.27,N/A
,,,,nyc-21-cap3,10.1.3.28,N/A
,,,,nyc-21-cap4,10.1.3.29,N/A
,,,,nyc-21-cap5,10.1.3.30,N/A
,,,,nyc-21-cap6,10.1.3.31,N/A
,,,,nyc-21-cap7,10.1.3.32,N/A
,,,,nyc-21-cap8,10.1.3.33,N/A
,,,,nyc-21-cap9,10.1.3.34,N/A
,,,,nyc-21-cap10,10.1.3.35,N/A
,,,,nyc-21-cap11,10.1.3.36,N/A
,,,,nyc-21-cap12,10.1.3.37,N/A
,,,,nyc-21-cap13,10.1.3.38,N/A
,,,,nyc-21-cap14,10.1.3.39,N/A
,,,,nyc-21-cap15,10.1.3.40,N/A
,,,,nyc-21-cap16,10.1.3.41,N/A
,,,,nyc-21-cap17,10.1.3.42,N/A
,,,,nyc-21-cap18,10.1.3.43,N/A
,,,,nyc-21-cap19,10.1.3.44,N/A
,,,,nyc-21-cap20,10.1.3.45,N/A
,,,,nyc-21-cap21,10.1.3.46,N/A
,,,,nyc-21-cap22,10.1.3.47,N/A
,,,,nyc-21-cap23,10.1.3.48,N/A
,,,,nyc-21-cap24,10.1.3.49,N/A
,,,,nyc-21-cap25,10.1.3.50,N/A
,,,,,,
